register	pSampleID	pStart	boundary	surface	lexeme	lexemeBERT	permalink
鎌倉-説話・随筆	30-宇治1220_11007	340	I	赤かり	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_11007,340
鎌倉-説話・随筆	30-宇治1220_11011	560	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_11011,560
鎌倉-説話・随筆	30-宇治1220_12021	1410	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_12021,1410
鎌倉-説話・随筆	30-宇治1220_15002	6140	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_15002,6140
鎌倉-説話・随筆	30-宇治1220_15004	8400	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_15004,8400
鎌倉-説話・随筆	30-宇治1220_15007	5080	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_15007,5080
鎌倉-説話・随筆	30-方丈1212_00005	7160	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00005,7160
室町-キリシタン	40-天平1592_01001	34650	I	赤い	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=40-%E5%A4%A9%E5%B9%B31592_01001,34650
室町-キリシタン	40-天平1592_04018	1320	I	赤い	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=40-%E5%A4%A9%E5%B9%B31592_04018,1320
室町-狂言	40-虎明1642_02018	21620	I	あかき	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=40-%E8%99%8E%E6%98%8E1642_02018,21620
室町-狂言	40-虎明1642_02018	21840	I	あかひ	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=40-%E8%99%8E%E6%98%8E1642_02018,21840
室町-狂言	40-虎明1642_02018	22590	I	あかひ	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=40-%E8%99%8E%E6%98%8E1642_02018,22590
室町-狂言	40-虎明1642_02018	23240	I	あかひ	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=40-%E8%99%8E%E6%98%8E1642_02018,23240
室町-狂言	40-虎明1642_02029	17060	I	あかひ	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=40-%E8%99%8E%E6%98%8E1642_02029,17060
室町-狂言	40-虎明1642_03021	18580	I	あかき	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=40-%E8%99%8E%E6%98%8E1642_03021,18580
室町-狂言	40-虎明1642_06018	15760	I	あかふ	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=40-%E8%99%8E%E6%98%8E1642_06018,15760
室町-狂言	40-虎明1642_06024	7990	I	あかき	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=40-%E8%99%8E%E6%98%8E1642_06024,7990
室町-狂言	40-虎明1642_08003	4860	I	あかき	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=40-%E8%99%8E%E6%98%8E1642_08003,4860
室町-狂言	40-虎明1642_08029	1350	I	あかき	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=40-%E8%99%8E%E6%98%8E1642_08029,1350
江戸-洒落本	52-洒落1769_01001	10050	I	あかい	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=52-%E6%B4%92%E8%90%BD1769_01001,10050
江戸-洒落本	52-洒落1773_01007	8850	I	赤い	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=52-%E6%B4%92%E8%90%BD1773_01007,8850
江戸-洒落本	52-洒落1776_01006	85610	I	紅く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=52-%E6%B4%92%E8%90%BD1776_01006,85610
江戸-洒落本	52-洒落1779_01025	43170	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=52-%E6%B4%92%E8%90%BD1779_01025,43170
江戸-洒落本	52-洒落1779_01025	61170	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=52-%E6%B4%92%E8%90%BD1779_01025,61170
江戸-洒落本	52-洒落1787_01065	13210	I	あかく	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=52-%E6%B4%92%E8%90%BD1787_01065,13210
江戸-洒落本	52-洒落1787_01065	122630	I	あかい	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=52-%E6%B4%92%E8%90%BD1787_01065,122630
江戸-洒落本	52-洒落1793_01066	30810	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=52-%E6%B4%92%E8%90%BD1793_01066,30810
江戸-洒落本	52-洒落1794_01014	15620	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=52-%E6%B4%92%E8%90%BD1794_01014,15620
江戸-洒落本	52-洒落1798_01012	39620	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=52-%E6%B4%92%E8%90%BD1798_01012,39620
江戸-洒落本	52-洒落1798_01012	72260	I	赤う	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=52-%E6%B4%92%E8%90%BD1798_01012,72260
江戸-洒落本	52-洒落1822_01062	69860	I	あかく	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=52-%E6%B4%92%E8%90%BD1822_01062,69860
江戸-人情本	53-人情1822_08006	14020	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=53-%E4%BA%BA%E6%83%851822_08006,14020
江戸-人情本	53-人情1824_08010	61390	I	赤い	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=53-%E4%BA%BA%E6%83%851824_08010,61390
江戸-人情本	53-人情1824_08013	70550	I	あかき	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=53-%E4%BA%BA%E6%83%851824_08013,70550
江戸-人情本	53-人情1831_05002	29170	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=53-%E4%BA%BA%E6%83%851831_05002,29170
江戸-人情本	53-人情1831_05003	72100	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=53-%E4%BA%BA%E6%83%851831_05003,72100
江戸-人情本	53-人情1831_05003	74860	I	あかく	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=53-%E4%BA%BA%E6%83%851831_05003,74860
江戸-人情本	53-人情1831_05004	76850	B	あか	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=53-%E4%BA%BA%E6%83%851831_05004,76850
江戸-人情本	53-人情1832_02004	39330	I	あかく	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=53-%E4%BA%BA%E6%83%851832_02004,39330
